timestamp,lat,lon,line,rn,trDr,destNm,heading,arrT,prdt
2016-06-20T11:32:15.000Z,41.93122,-87.65306,red,815,5,95th/Dan Ryan,177,20160620 11:33:31,20160620 11:31:31
2016-06-20T11:32:15.000Z,41.99026,-87.65908,red,816,5,95th/Dan Ryan,177,20160620 11:32:28,20160620 11:31:28
2016-06-20T11:32:15.000Z,42.01588,-87.66909,red,818,1,Howard,310,20160620 11:29:21,20160620 11:27:21
2016-06-20T11:32:15.000Z,41.9713,-87.65849,red,820,1,Howard,358,20160620 11:28:36,20160620 11:27:36
2016-06-20T11:32:15.000Z,41.94743,-87.65363,red,821,1,Howard,359,20160620 11:33:32,20160620 11:31:32
2016-06-20T11:32:15.000Z,41.76984,-87.62584,red,824,1,Howard,358,20160620 11:33:54,20160620 11:31:54
2016-06-20T11:32:15.000Z,41.88074,-87.6277,red,901,1,Howard,358,20160620 11:32:14,20160620 11:31:14
2016-06-20T11:32:15.000Z,41.81684,-87.63029,red,902,1,Howard,358,20160620 11:32:51,20160620 11:31:51
2016-06-20T11:32:15.000Z,41.90389,-87.63322,red,906,5,95th/Dan Ryan,89,20160620 11:32:55,20160620 11:31:55
2016-06-20T11:32:15.000Z,42.0127,-87.66617,red,911,1,Howard,335,20160620 11:30:05,20160620 11:29:05
2016-06-20T11:32:15.000Z,41.80928,-87.63159,red,912,5,95th/Dan Ryan,197,20160620 11:33:19,20160620 11:31:19
2016-06-20T11:33:15.000Z,41.95496,-87.65677,red,801,5,95th/Dan Ryan,178,20160620 11:33:55,20160620 11:32:55
2016-06-20T11:33:15.000Z,41.96914,-87.65849,red,802,5,95th/Dan Ryan,180,20160620 11:33:57,20160620 11:32:57
2016-06-20T11:33:15.000Z,41.96427,-87.65759,red,805,1,Howard,344,20160620 11:33:43,20160620 11:31:43
2016-06-20T11:33:15.000Z,41.86417,-87.62731,red,806,1,Howard,358,20160620 11:33:03,20160620 11:32:03
2016-06-20T11:33:15.000Z,41.91304,-87.65246,red,807,1,Howard,326,20160620 11:34:47,20160620 11:32:47
2016-06-20T11:33:15.000Z,41.77587,-87.62807,red,812,5,95th/Dan Ryan,128,20160620 11:33:54,20160620 11:32:54
2016-06-20T11:33:15.000Z,41.8674,-87.6274,red,814,5,95th/Dan Ryan,178,20160620 11:35:32,20160620 11:32:32
2016-06-20T11:33:15.000Z,41.92916,-87.65298,red,815,5,95th/Dan Ryan,177,20160620 11:33:47,20160620 11:32:47
2016-06-20T11:33:15.000Z,41.9835,-87.65884,red,816,5,95th/Dan Ryan,178,20160620 11:34:49,20160620 11:32:49
2016-06-20T11:33:15.000Z,42.01588,-87.66909,red,818,1,Howard,310,20160620 11:29:21,20160620 11:27:21
